[l,n]	Base4h	Base16h	Base32
[10,399]	'12033	'63M	'cf
[6,25]	'121	'6K	'
[7,50]	'121G	'6Q	'
[8,100]	'1210	'64	'
[9,200]	'1210G	'64G	'
[10,400]	'12100	'64J	'cg
[10,401]	'12101	'64K	'ch
[9,201]	'1210H	'64H	'
[10,402]	'12102	'64L	'ci
[10,403]	'12103	'64M	'cj
[8,101]	'1211	'65	'
[9,202]	'1211G	'65G	'
[10,404]	'12110	'65J	'ck
[10,405]	'12111	'65K	'cl
[9,203]	'1211H	'65H	'
[10,406]	'12112	'65L	'cm
[10,407]	'12113	'65M	'cn
[7,51]	'121H	'6R	'
[8,102]	'1212	'66	'
[9,204]	'1212G	'66G	'
[10,408]	'12120	'66J	'co
[10,409]	'12121	'66K	'cp
[9,205]	'1212H	'66H	'
[10,410]	'12122	'66L	'cq
[10,411]	'12123	'66M	'cr
[8,103]	'1213	'67	'
[9,206]	'1213G	'67G	'
[10,412]	'12130	'67J	'cs
[10,413]	'12131	'67K	'ct
[9,207]	'1213H	'67H	'
[10,414]	'12132	'67L	'cu
[10,415]	'12133	'67M	'cv
[5,13]	'12H	'6H	'd
[6,26]	'122	'6L	'
[7,52]	'122G	'6S	'
[8,104]	'1220	'68	'
[9,208]	'1220G	'68G	'
[10,416]	'12200	'68J	'd0
[10,417]	'12201	'68K	'd1
[9,209]	'1220H	'68H	'
[10,418]	'12202	'68L	'd2
[10,419]	'12203	'68M	'd3
[8,105]	'1221	'69	'
[9,210]	'1221G	'69G	'
[10,420]	'12210	'69J	'd4
[10,421]	'12211	'69K	'd5
[9,211]	'1221H	'69H	'
[10,422]	'12212	'69L	'd6
[10,423]	'12213	'69M	'd7
[7,53]	'122H	'6T	'
[8,106]	'1222	'6a	'
[9,212]	'1222G	'6aG	'
[10,424]	'12220	'6aJ	'd8
[10,425]	'12221	'6aK	'd9
[9,213]	'1222H	'6aH	'
[10,426]	'12222	'6aL	'da
[10,427]	'12223	'6aM	'db
[8,107]	'1223	'6b	'
[9,214]	'1223G	'6bG	'
[10,428]	'12230	'6bJ	'dc
[10,429]	'12231	'6bK	'dd
[9,215]	'1223H	'6bH	'
[10,430]	'12232	'6bL	'de
[10,431]	'12233	'6bM	'df
[6,27]	'123	'6M	'
[7,54]	'123G	'6V	'
[8,108]	'1230	'6c	'
[9,216]	'1230G	'6cG	'
[10,432]	'12300	'6cJ	'dg
[10,433]	'12301	'6cK	'dh
[9,217]	'1230H	'6cH	'
[10,434]	'12302	'6cL	'di
[10,435]	'12303	'6cM	'dj
[8,109]	'1231	'6d	'
[9,218]	'1231G	'6dG	'
[10,436]	'12310	'6dJ	'dk
[10,437]	'12311	'6dK	'dl
[9,219]	'1231H	'6dH	'
[10,438]	'12312	'6dL	'dm
[10,439]	'12313	'6dM	'dn
[7,55]	'123H	'6Z	'
[8,110]	'1232	'6e	'
[9,220]	'1232G	'6eG	'
[10,440]	'12320	'6eJ	'do
[10,441]	'12321	'6eK	'dp
[9,221]	'1232H	'6eH	'
[10,442]	'12322	'6eL	'dq
[10,443]	'12323	'6eM	'dr
[8,111]	'1233	'6f	'
[9,222]	'1233G	'6fG	'
[10,444]	'12330	'6fJ	'ds
[10,445]	'12331	'6fK	'dt
[9,223]	'1233H	'6fH	'
[10,446]	'12332	'6fL	'du
[10,447]	'12333	'6fM	'dv
[4,7]	'13	'7	'
[5,14]	'13G	'7G	'e
[6,28]	'130	'7J	'
[7,56]	'130G	'7N	'
[8,112]	'1300	'70	'
[9,224]	'1300G	'70G	'
[10,448]	'13000	'70J	'e0
[10,449]	'13001	'70K	'e1
[9,225]	'1300H	'70H	'
[10,450]	'13002	'70L	'e2
[10,451]	'13003	'70M	'e3
[8,113]	'1301	'71	'
[9,226]	'1301G	'71G	'
[10,452]	'13010	'71J	'e4
[10,453]	'13011	'71K	'e5
[9,227]	'1301H	'71H	'
[10,454]	'13012	'71L	'e6
[10,455]	'13013	'71M	'e7
[7,57]	'130H	'7P	'
[8,114]	'1302	'72	'
[9,228]	'1302G	'72G	'
[10,456]	'13020	'72J	'e8
[10,457]	'13021	'72K	'e9
[9,229]	'1302H	'72H	'
[10,458]	'13022	'72L	'ea
[10,459]	'13023	'72M	'eb
[8,115]	'1303	'73	'
[9,230]	'1303G	'73G	'
[10,460]	'13030	'73J	'ec
[10,461]	'13031	'73K	'ed
[9,231]	'1303H	'73H	'
[10,462]	'13032	'73L	'ee
[10,463]	'13033	'73M	'ef
[6,29]	'131	'7K	'
[7,58]	'131G	'7Q	'
[8,116]	'1310	'74	'
[9,232]	'1310G	'74G	'
[10,464]	'13100	'74J	'eg
[10,465]	'13101	'74K	'eh
[9,233]	'1310H	'74H	'
[10,466]	'13102	'74L	'ei
[10,467]	'13103	'74M	'ej
[8,117]	'1311	'75	'
[9,234]	'1311G	'75G	'
[10,468]	'13110	'75J	'ek
[10,469]	'13111	'75K	'el
[9,235]	'1311H	'75H	'
[10,470]	'13112	'75L	'em
[10,471]	'13113	'75M	'en
[7,59]	'131H	'7R	'
[8,118]	'1312	'76	'
[9,236]	'1312G	'76G	'
[10,472]	'13120	'76J	'eo
[10,473]	'13121	'76K	'ep
[9,237]	'1312H	'76H	'
[10,474]	'13122	'76L	'eq
[10,475]	'13123	'76M	'er
[8,119]	'1313	'77	'
[9,238]	'1313G	'77G	'
[10,476]	'13130	'77J	'es
[10,477]	'13131	'77K	'et
[9,239]	'1313H	'77H	'
[10,478]	'13132	'77L	'eu
[10,479]	'13133	'77M	'ev
[5,15]	'13H	'7H	'f
[6,30]	'132	'7L	'
[7,60]	'132G	'7S	'
[8,120]	'1320	'78	'
[9,240]	'1320G	'78G	'
[10,480]	'13200	'78J	'f0
[10,481]	'13201	'78K	'f1
[9,241]	'1320H	'78H	'
[10,482]	'13202	'78L	'f2
[10,483]	'13203	'78M	'f3
[8,121]	'1321	'79	'
[9,242]	'1321G	'79G	'
[10,484]	'13210	'79J	'f4
[10,485]	'13211	'79K	'f5
[9,243]	'1321H	'79H	'
[10,486]	'13212	'79L	'f6
[10,487]	'13213	'79M	'f7
[7,61]	'132H	'7T	'
[8,122]	'1322	'7a	'
[9,244]	'1322G	'7aG	'
[10,488]	'13220	'7aJ	'f8
[10,489]	'13221	'7aK	'f9
[9,245]	'1322H	'7aH	'
[10,490]	'13222	'7aL	'fa
[10,491]	'13223	'7aM	'fb
[8,123]	'1323	'7b	'
[9,246]	'1323G	'7bG	'
[10,492]	'13230	'7bJ	'fc
[10,493]	'13231	'7bK	'fd
[9,247]	'1323H	'7bH	'
[10,494]	'13232	'7bL	'fe
[10,495]	'13233	'7bM	'ff
[6,31]	'133	'7M	'
[7,62]	'133G	'7V	'
[8,124]	'1330	'7c	'
[9,248]	'1330G	'7cG	'
[10,496]	'13300	'7cJ	'fg
[10,497]	'13301	'7cK	'fh
[9,249]	'1330H	'7cH	'
[10,498]	'13302	'7cL	'fi
[10,499]	'13303	'7cM	'fj
[8,125]	'1331	'7d	'
[9,250]	'1331G	'7dG	'
[10,500]	'13310	'7dJ	'fk
[10,501]	'13311	'7dK	'fl
[9,251]	'1331H	'7dH	'
[10,502]	'13312	'7dL	'fm
[10,503]	'13313	'7dM	'fn
[7,63]	'133H	'7Z	'
[8,126]	'1332	'7e	'
[9,252]	'1332G	'7eG	'
[10,504]	'13320	'7eJ	'fo
[10,505]	'13321	'7eK	'fp
[9,253]	'1332H	'7eH	'
[10,506]	'13322	'7eL	'fq
[10,507]	'13323	'7eM	'fr
[8,127]	'1333	'7f	'
[9,254]	'1333G	'7fG	'
[10,508]	'13330	'7fJ	'fs
[10,509]	'13331	'7fK	'ft
[9,255]	'1333H	'7fH	'
[10,510]	'13332	'7fL	'fu
[10,511]	'13333	'7fM	'fv
[1,1]	'H	'H	'
[2,2]	'2	'L	'
[3,4]	'2G	'S	'
[4,8]	'20	'8	'
[5,16]	'20G	'8G	'g
[6,32]	'200	'8J	'
[7,64]	'200G	'8N	'
[8,128]	'2000	'80	'
[9,256]	'2000G	'80G	'
[10,512]	'20000	'80J	'g0
[10,513]	'20001	'80K	'g1
[9,257]	'2000H	'80H	'
[10,514]	'20002	'80L	'g2
[10,515]	'20003	'80M	'g3
[8,129]	'2001	'81	'
[9,258]	'2001G	'81G	'
[10,516]	'20010	'81J	'g4
[10,517]	'20011	'81K	'g5
[9,259]	'2001H	'81H	'
[10,518]	'20012	'81L	'g6
[10,519]	'20013	'81M	'g7
[7,65]	'200H	'8P	'
[8,130]	'2002	'82	'
[9,260]	'2002G	'82G	'
[10,520]	'20020	'82J	'g8
[10,521]	'20021	'82K	'g9
[9,261]	'2002H	'82H	'
[10,522]	'20022	'82L	'ga
[10,523]	'20023	'82M	'gb
[8,131]	'2003	'83	'
[9,262]	'2003G	'83G	'
[10,524]	'20030	'83J	'gc
[10,525]	'20031	'83K	'gd
[9,263]	'2003H	'83H	'
[10,526]	'20032	'83L	'ge
[10,527]	'20033	'83M	'gf
[6,33]	'201	'8K	'
[7,66]	'201G	'8Q	'
[8,132]	'2010	'84	'
[9,264]	'2010G	'84G	'
[10,528]	'20100	'84J	'gg
[10,529]	'20101	'84K	'gh
[9,265]	'2010H	'84H	'
[10,530]	'20102	'84L	'gi
[10,531]	'20103	'84M	'gj
[8,133]	'2011	'85	'
[9,266]	'2011G	'85G	'
[10,532]	'20110	'85J	'gk
[10,533]	'20111	'85K	'gl
[9,267]	'2011H	'85H	'
[10,534]	'20112	'85L	'gm
[10,535]	'20113	'85M	'gn
[7,67]	'201H	'8R	'
[8,134]	'2012	'86	'
[9,268]	'2012G	'86G	'
[10,536]	'20120	'86J	'go
[10,537]	'20121	'86K	'gp
[9,269]	'2012H	'86H	'
[10,538]	'20122	'86L	'gq
[10,539]	'20123	'86M	'gr
[8,135]	'2013	'87	'
[9,270]	'2013G	'87G	'
[10,540]	'20130	'87J	'gs
[10,541]	'20131	'87K	'gt
[9,271]	'2013H	'87H	'
[10,542]	'20132	'87L	'gu
[10,543]	'20133	'87M	'gv
[5,17]	'20H	'8H	'h
[6,34]	'202	'8L	'
[7,68]	'202G	'8S	'
[8,136]	'2020	'88	'
[9,272]	'2020G	'88G	'
[10,544]	'20200	'88J	'h0
[10,545]	'20201	'88K	'h1
[9,273]	'2020H	'88H	'
[10,546]	'20202	'88L	'h2
[10,547]	'20203	'88M	'h3
[8,137]	'2021	'89	'
[9,274]	'2021G	'89G	'
[10,548]	'20210	'89J	'h4
[10,549]	'20211	'89K	'h5
[9,275]	'2021H	'89H	'
[10,550]	'20212	'89L	'h6
[10,551]	'20213	'89M	'h7
[7,69]	'202H	'8T	'
[8,138]	'2022	'8a	'
[9,276]	'2022G	'8aG	'
[10,552]	'20220	'8aJ	'h8
[10,553]	'20221	'8aK	'h9
[9,277]	'2022H	'8aH	'
[10,554]	'20222	'8aL	'ha
[10,555]	'20223	'8aM	'hb
[8,139]	'2023	'8b	'
[9,278]	'2023G	'8bG	'
[10,556]	'20230	'8bJ	'hc
[10,557]	'20231	'8bK	'hd
[9,279]	'2023H	'8bH	'
[10,558]	'20232	'8bL	'he
[10,559]	'20233	'8bM	'hf
[6,35]	'203	'8M	'
[7,70]	'203G	'8V	'
[8,140]	'2030	'8c	'
[9,280]	'2030G	'8cG	'
[10,560]	'20300	'8cJ	'hg
[10,561]	'20301	'8cK	'hh
[9,281]	'2030H	'8cH	'
[10,562]	'20302	'8cL	'hi
[10,563]	'20303	'8cM	'hj
[8,141]	'2031	'8d	'
[9,282]	'2031G	'8dG	'
[10,564]	'20310	'8dJ	'hk
[10,565]	'20311	'8dK	'hl
[9,283]	'2031H	'8dH	'
[10,566]	'20312	'8dL	'hm
[10,567]	'20313	'8dM	'hn
[7,71]	'203H	'8Z	'
[8,142]	'2032	'8e	'
[9,284]	'2032G	'8eG	'
[10,568]	'20320	'8eJ	'ho
[10,569]	'20321	'8eK	'hp
[9,285]	'2032H	'8eH	'
[10,570]	'20322	'8eL	'hq
[10,571]	'20323	'8eM	'hr
[8,143]	'2033	'8f	'
[9,286]	'2033G	'8fG	'
[10,572]	'20330	'8fJ	'hs
[10,573]	'20331	'8fK	'ht
[9,287]	'2033H	'8fH	'
[10,574]	'20332	'8fL	'hu
[10,575]	'20333	'8fM	'hv
[4,9]	'21	'9	'
[5,18]	'21G	'9G	'i
[6,36]	'210	'9J	'
[7,72]	'210G	'9N	'
[8,144]	'2100	'90	'
[9,288]	'2100G	'90G	'
[10,576]	'21000	'90J	'i0
[10,577]	'21001	'90K	'i1
[9,289]	'2100H	'90H	'
[10,578]	'21002	'90L	'i2
[10,579]	'21003	'90M	'i3
[8,145]	'2101	'91	'
[9,290]	'2101G	'91G	'
[10,580]	'21010	'91J	'i4
[10,581]	'21011	'91K	'i5
[9,291]	'2101H	'91H	'
[10,582]	'21012	'91L	'i6
[10,583]	'21013	'91M	'i7
[7,73]	'210H	'9P	'
[8,146]	'2102	'92	'
[9,292]	'2102G	'92G	'
[10,584]	'21020	'92J	'i8
[10,585]	'21021	'92K	'i9
[9,293]	'2102H	'92H	'
[10,586]	'21022	'92L	'ia
[10,587]	'21023	'92M	'ib
[8,147]	'2103	'93	'
[9,294]	'2103G	'93G	'
[10,588]	'21030	'93J	'ic
[10,589]	'21031	'93K	'id
[9,295]	'2103H	'93H	'
[10,590]	'21032	'93L	'ie
[10,591]	'21033	'93M	'if
[6,37]	'211	'9K	'
[7,74]	'211G	'9Q	'
[8,148]	'2110	'94	'
[9,296]	'2110G	'94G	'
[10,592]	'21100	'94J	'ig
[10,593]	'21101	'94K	'ih
[9,297]	'2110H	'94H	'
[10,594]	'21102	'94L	'ii
[10,595]	'21103	'94M	'ij
[8,149]	'2111	'95	'
[9,298]	'2111G	'95G	'
[10,596]	'21110	'95J	'ik
[10,597]	'21111	'95K	'il
[9,299]	'2111H	'95H	'
[10,598]	'21112	'95L	'im
[10,599]	'21113	'95M	'in
[7,75]	'211H	'9R	'
[8,150]	'2112	'96	'
[9,300]	'2112G	'96G	'
[10,600]	'21120	'96J	'io
[10,601]	'21121	'96K	'ip
[9,301]	'2112H	'96H	'
[10,602]	'21122	'96L	'iq
[10,603]	'21123	'96M	'ir
[8,151]	'2113	'97	'
[9,302]	'2113G	'97G	'
[10,604]	'21130	'97J	'is
[10,605]	'21131	'97K	'it
[9,303]	'2113H	'97H	'
[10,606]	'21132	'97L	'iu
[10,607]	'21133	'97M	'iv
[5,19]	'21H	'9H	'j
[6,38]	'212	'9L	'
[7,76]	'212G	'9S	'
[8,152]	'2120	'98	'
[9,304]	'2120G	'98G	'
[10,608]	'21200	'98J	'j0
[10,609]	'21201	'98K	'j1
[9,305]	'2120H	'98H	'
[10,610]	'21202	'98L	'j2
[10,611]	'21203	'98M	'j3
[8,153]	'2121	'99	'
[9,306]	'2121G	'99G	'
[10,612]	'21210	'99J	'j4
[10,613]	'21211	'99K	'j5
[9,307]	'2121H	'99H	'
[10,614]	'21212	'99L	'j6
[10,615]	'21213	'99M	'j7
[7,77]	'212H	'9T	'
[8,154]	'2122	'9a	'
[9,308]	'2122G	'9aG	'
[10,616]	'21220	'9aJ	'j8
[10,617]	'21221	'9aK	'j9
[9,309]	'2122H	'9aH	'
[10,618]	'21222	'9aL	'ja
[10,619]	'21223	'9aM	'jb
[8,155]	'2123	'9b	'
[9,310]	'2123G	'9bG	'
[10,620]	'21230	'9bJ	'jc
[10,621]	'21231	'9bK	'jd
[9,311]	'2123H	'9bH	'
[10,622]	'21232	'9bL	'je
[10,623]	'21233	'9bM	'jf
[6,39]	'213	'9M	'
[7,78]	'213G	'9V	'
[8,156]	'2130	'9c	'
[9,312]	'2130G	'9cG	'
[10,624]	'21300	'9cJ	'jg
[10,625]	'21301	'9cK	'jh
[9,313]	'2130H	'9cH	'
[10,626]	'21302	'9cL	'ji
[10,627]	'21303	'9cM	'jj
[8,157]	'2131	'9d	'
[9,314]	'2131G	'9dG	'
[10,628]	'21310	'9dJ	'jk
[10,629]	'21311	'9dK	'jl
[9,315]	'2131H	'9dH	'
[10,630]	'21312	'9dL	'jm
[10,631]	'21313	'9dM	'jn
[7,79]	'213H	'9Z	'
[8,158]	'2132	'9e	'
[9,316]	'2132G	'9eG	'
[10,632]	'21320	'9eJ	'jo
[10,633]	'21321	'9eK	'jp
[9,317]	'2132H	'9eH	'
[10,634]	'21322	'9eL	'jq
[10,635]	'21323	'9eM	'jr
[8,159]	'2133	'9f	'
[9,318]	'2133G	'9fG	'
[10,636]	'21330	'9fJ	'js
[10,637]	'21331	'9fK	'jt
[9,319]	'2133H	'9fH	'
[10,638]	'21332	'9fL	'ju
[10,639]	'21333	'9fM	'jv
[3,5]	'2H	'T	'
[4,10]	'22	'a	'
[5,20]	'22G	'aG	'k
[6,40]	'220	'aJ	'
[7,80]	'220G	'aN	'
[8,160]	'2200	'a0	'
[9,320]	'2200G	'a0G	'
[10,640]	'22000	'a0J	'k0
[10,641]	'22001	'a0K	'k1
[9,321]	'2200H	'a0H	'
[10,642]	'22002	'a0L	'k2
[10,643]	'22003	'a0M	'k3
[8,161]	'2201	'a1	'
[9,322]	'2201G	'a1G	'
[10,644]	'22010	'a1J	'k4
[10,645]	'22011	'a1K	'k5
[9,323]	'2201H	'a1H	'
[10,646]	'22012	'a1L	'k6
[10,647]	'22013	'a1M	'k7
[7,81]	'220H	'aP	'
[8,162]	'2202	'a2	'
[9,324]	'2202G	'a2G	'
[10,648]	'22020	'a2J	'k8
[10,649]	'22021	'a2K	'k9
[9,325]	'2202H	'a2H	'
[10,650]	'22022	'a2L	'ka
[10,651]	'22023	'a2M	'kb
[8,163]	'2203	'a3	'
[9,326]	'2203G	'a3G	'
[10,652]	'22030	'a3J	'kc
[10,653]	'22031	'a3K	'kd
[9,327]	'2203H	'a3H	'
[10,654]	'22032	'a3L	'ke
[10,655]	'22033	'a3M	'kf
[6,41]	'221	'aK	'
[7,82]	'221G	'aQ	'
[8,164]	'2210	'a4	'
[9,328]	'2210G	'a4G	'
[10,656]	'22100	'a4J	'kg
[10,657]	'22101	'a4K	'kh
[9,329]	'2210H	'a4H	'
[10,658]	'22102	'a4L	'ki
[10,659]	'22103	'a4M	'kj
[8,165]	'2211	'a5	'
[9,330]	'2211G	'a5G	'
[10,660]	'22110	'a5J	'kk
[10,661]	'22111	'a5K	'kl
[9,331]	'2211H	'a5H	'
[10,662]	'22112	'a5L	'km
[10,663]	'22113	'a5M	'kn
[7,83]	'221H	'aR	'
[8,166]	'2212	'a6	'
[9,332]	'2212G	'a6G	'
[10,664]	'22120	'a6J	'ko
[10,665]	'22121	'a6K	'kp
[9,333]	'2212H	'a6H	'
[10,666]	'22122	'a6L	'kq
[10,667]	'22123	'a6M	'kr
[8,167]	'2213	'a7	'
[9,334]	'2213G	'a7G	'
[10,668]	'22130	'a7J	'ks
[10,669]	'22131	'a7K	'kt
[9,335]	'2213H	'a7H	'
[10,670]	'22132	'a7L	'ku
[10,671]	'22133	'a7M	'kv
[5,21]	'22H	'aH	'l
[6,42]	'222	'aL	'
[7,84]	'222G	'aS	'
[8,168]	'2220	'a8	'
[9,336]	'2220G	'a8G	'
[10,672]	'22200	'a8J	'l0
[10,673]	'22201	'a8K	'l1
[9,337]	'2220H	'a8H	'
[10,674]	'22202	'a8L	'l2
[10,675]	'22203	'a8M	'l3
[8,169]	'2221	'a9	'
[9,338]	'2221G	'a9G	'
[10,676]	'22210	'a9J	'l4
[10,677]	'22211	'a9K	'l5
[9,339]	'2221H	'a9H	'
[10,678]	'22212	'a9L	'l6
[10,679]	'22213	'a9M	'l7
[7,85]	'222H	'aT	'
[8,170]	'2222	'aa	'
[9,340]	'2222G	'aaG	'
[10,680]	'22220	'aaJ	'l8
[10,681]	'22221	'aaK	'l9
[9,341]	'2222H	'aaH	'
[10,682]	'22222	'aaL	'la
[10,683]	'22223	'aaM	'lb
[8,171]	'2223	'ab	'
[9,342]	'2223G	'abG	'
[10,684]	'22230	'abJ	'lc
[10,685]	'22231	'abK	'ld
[9,343]	'2223H	'abH	'
[10,686]	'22232	'abL	'le
[10,687]	'22233	'abM	'lf
[6,43]	'223	'aM	'
[7,86]	'223G	'aV	'
[8,172]	'2230	'ac	'
[9,344]	'2230G	'acG	'
[10,688]	'22300	'acJ	'lg
[10,689]	'22301	'acK	'lh
[9,345]	'2230H	'acH	'
[10,690]	'22302	'acL	'li
[10,691]	'22303	'acM	'lj
[8,173]	'2231	'ad	'
[9,346]	'2231G	'adG	'
[10,692]	'22310	'adJ	'lk
[10,693]	'22311	'adK	'll
[9,347]	'2231H	'adH	'
[10,694]	'22312	'adL	'lm
[10,695]	'22313	'adM	'ln
[7,87]	'223H	'aZ	'
[8,174]	'2232	'ae	'
[9,348]	'2232G	'aeG	'
[10,696]	'22320	'aeJ	'lo
[10,697]	'22321	'aeK	'lp
[9,349]	'2232H	'aeH	'
[10,698]	'22322	'aeL	'lq
[10,699]	'22323	'aeM	'lr
[8,175]	'2233	'af	'
[9,350]	'2233G	'afG	'
[10,700]	'22330	'afJ	'ls
[10,701]	'22331	'afK	'lt
[9,351]	'2233H	'afH	'
[10,702]	'22332	'afL	'lu
[10,703]	'22333	'afM	'lv
[4,11]	'23	'b	'
[5,22]	'23G	'bG	'm
[6,44]	'230	'bJ	'
[7,88]	'230G	'bN	'
[8,176]	'2300	'b0	'
[9,352]	'2300G	'b0G	'
[10,704]	'23000	'b0J	'm0
[10,705]	'23001	'b0K	'm1
[9,353]	'2300H	'b0H	'
[10,706]	'23002	'b0L	'm2
[10,707]	'23003	'b0M	'm3
[8,177]	'2301	'b1	'
[9,354]	'2301G	'b1G	'
[10,708]	'23010	'b1J	'm4
[10,709]	'23011	'b1K	'm5
[9,355]	'2301H	'b1H	'
[10,710]	'23012	'b1L	'm6
[10,711]	'23013	'b1M	'm7
[7,89]	'230H	'bP	'
[8,178]	'2302	'b2	'
[9,356]	'2302G	'b2G	'
[10,712]	'23020	'b2J	'm8
[10,713]	'23021	'b2K	'm9
[9,357]	'2302H	'b2H	'
[10,714]	'23022	'b2L	'ma
[10,715]	'23023	'b2M	'mb
[8,179]	'2303	'b3	'
[9,358]	'2303G	'b3G	'
[10,716]	'23030	'b3J	'mc
[10,717]	'23031	'b3K	'md
[9,359]	'2303H	'b3H	'
[10,718]	'23032	'b3L	'me
[10,719]	'23033	'b3M	'mf
[6,45]	'231	'bK	'
[7,90]	'231G	'bQ	'
[8,180]	'2310	'b4	'
[9,360]	'2310G	'b4G	'
[10,720]	'23100	'b4J	'mg
[10,721]	'23101	'b4K	'mh
[9,361]	'2310H	'b4H	'
[10,722]	'23102	'b4L	'mi
[10,723]	'23103	'b4M	'mj
[8,181]	'2311	'b5	'
[9,362]	'2311G	'b5G	'
[10,724]	'23110	'b5J	'mk
[10,725]	'23111	'b5K	'ml
[9,363]	'2311H	'b5H	'
[10,726]	'23112	'b5L	'mm
[10,727]	'23113	'b5M	'mn
[7,91]	'231H	'bR	'
[8,182]	'2312	'b6	'
[9,364]	'2312G	'b6G	'
[10,728]	'23120	'b6J	'mo
[10,729]	'23121	'b6K	'mp
[9,365]	'2312H	'b6H	'
[10,730]	'23122	'b6L	'mq
[10,731]	'23123	'b6M	'mr
[8,183]	'2313	'b7	'
[9,366]	'2313G	'b7G	'
[10,732]	'23130	'b7J	'ms
[10,733]	'23131	'b7K	'mt
[9,367]	'2313H	'b7H	'
[10,734]	'23132	'b7L	'mu
[10,735]	'23133	'b7M	'mv
[5,23]	'23H	'bH	'n
[6,46]	'232	'bL	'
[7,92]	'232G	'bS	'
[8,184]	'2320	'b8	'
[9,368]	'2320G	'b8G	'
[10,736]	'23200	'b8J	'n0
[10,737]	'23201	'b8K	'n1
[9,369]	'2320H	'b8H	'
[10,738]	'23202	'b8L	'n2
[10,739]	'23203	'b8M	'n3
[8,185]	'2321	'b9	'
[9,370]	'2321G	'b9G	'
[10,740]	'23210	'b9J	'n4
[10,741]	'23211	'b9K	'n5
[9,371]	'2321H	'b9H	'
[10,742]	'23212	'b9L	'n6
[10,743]	'23213	'b9M	'n7
[7,93]	'232H	'bT	'
[8,186]	'2322	'ba	'
[9,372]	'2322G	'baG	'
[10,744]	'23220	'baJ	'n8
[10,745]	'23221	'baK	'n9
[9,373]	'2322H	'baH	'
[10,746]	'23222	'baL	'na
[10,747]	'23223	'baM	'nb
[8,187]	'2323	'bb	'
[9,374]	'2323G	'bbG	'
[10,748]	'23230	'bbJ	'nc
[10,749]	'23231	'bbK	'nd
[9,375]	'2323H	'bbH	'
[10,750]	'23232	'bbL	'ne
[10,751]	'23233	'bbM	'nf
[6,47]	'233	'bM	'
[7,94]	'233G	'bV	'
[8,188]	'2330	'bc	'
[9,376]	'2330G	'bcG	'
[10,752]	'23300	'bcJ	'ng
[10,753]	'23301	'bcK	'nh
[9,377]	'2330H	'bcH	'
[10,754]	'23302	'bcL	'ni
[10,755]	'23303	'bcM	'nj
[8,189]	'2331	'bd	'
[9,378]	'2331G	'bdG	'
[10,756]	'23310	'bdJ	'nk
[10,757]	'23311	'bdK	'nl
[9,379]	'2331H	'bdH	'
[10,758]	'23312	'bdL	'nm
[10,759]	'23313	'bdM	'nn
[7,95]	'233H	'bZ	'
[8,190]	'2332	'be	'
[9,380]	'2332G	'beG	'
[10,760]	'23320	'beJ	'no
[10,761]	'23321	'beK	'np
[9,381]	'2332H	'beH	'
[10,762]	'23322	'beL	'nq
[10,763]	'23323	'beM	'nr
[8,191]	'2333	'bf	'
[9,382]	'2333G	'bfG	'
[10,764]	'23330	'bfJ	'ns
[10,765]	'23331	'bfK	'nt
[9,383]	'2333H	'bfH	'
[10,766]	'23332	'bfL	'nu
[10,767]	'23333	'bfM	'nv
[2,3]	'3	'M	'
[3,6]	'3G	'V	'
[4,12]	'30	'c	'
[5,24]	'30G	'cG	'o
[6,48]	'300	'cJ	'
[7,96]	'300G	'cN	'
[8,192]	'3000	'c0	'
[9,384]	'3000G	'c0G	'
[10,768]	'30000	'c0J	'o0
[10,769]	'30001	'c0K	'o1
[9,385]	'3000H	'c0H	'
[10,770]	'30002	'c0L	'o2
[10,771]	'30003	'c0M	'o3
[8,193]	'3001	'c1	'
[9,386]	'3001G	'c1G	'
[10,772]	'30010	'c1J	'o4
[10,773]	'30011	'c1K	'o5
[9,387]	'3001H	'c1H	'
[10,774]	'30012	'c1L	'o6
[10,775]	'30013	'c1M	'o7
[7,97]	'300H	'cP	'
[8,194]	'3002	'c2	'
[9,388]	'3002G	'c2G	'
[10,776]	'30020	'c2J	'o8
[10,777]	'30021	'c2K	'o9
[9,389]	'3002H	'c2H	'
[10,778]	'30022	'c2L	'oa
[10,779]	'30023	'c2M	'ob
[8,195]	'3003	'c3	'
[9,390]	'3003G	'c3G	'
[10,780]	'30030	'c3J	'oc
[10,781]	'30031	'c3K	'od
[9,391]	'3003H	'c3H	'
[10,782]	'30032	'c3L	'oe
[10,783]	'30033	'c3M	'of
[6,49]	'301	'cK	'
[7,98]	'301G	'cQ	'
[8,196]	'3010	'c4	'
[9,392]	'3010G	'c4G	'
[10,784]	'30100	'c4J	'og
[10,785]	'30101	'c4K	'oh
[9,393]	'3010H	'c4H	'
[10,786]	'30102	'c4L	'oi
[10,787]	'30103	'c4M	'oj
[8,197]	'3011	'c5	'
[9,394]	'3011G	'c5G	'
[10,788]	'30110	'c5J	'ok
[10,789]	'30111	'c5K	'ol
[9,395]	'3011H	'c5H	'
[10,790]	'30112	'c5L	'om
[10,791]	'30113	'c5M	'on
[7,99]	'301H	'cR	'
[8,198]	'3012	'c6	'
[9,396]	'3012G	'c6G	'
[10,792]	'30120	'c6J	'oo
[10,793]	'30121	'c6K	'op
[9,397]	'3012H	'c6H	'
[10,794]	'30122	'c6L	'oq
[10,795]	'30123	'c6M	'or
[8,199]	'3013	'c7	'
