[l,n]	Base4h	Base16h	Base32
[10,90]	'01122	'16L	'2q
[10,91]	'01123	'16M	'2r
[8,23]	'0113	'17	'
[9,46]	'0113G	'17G	'
[10,92]	'01130	'17J	'2s
[10,93]	'01131	'17K	'2t
[9,47]	'0113H	'17H	'
[10,94]	'01132	'17L	'2u
[10,95]	'01133	'17M	'2v
[5,3]	'01H	'1H	'3
[6,6]	'012	'1L	'
[7,12]	'012G	'1S	'
[8,24]	'0120	'18	'
[9,48]	'0120G	'18G	'
[10,96]	'01200	'18J	'30
[10,97]	'01201	'18K	'31
[9,49]	'0120H	'18H	'
[10,98]	'01202	'18L	'32
[10,99]	'01203	'18M	'33
[8,25]	'0121	'19	'
[9,50]	'0121G	'19G	'
[10,100]	'01210	'19J	'34
[10,101]	'01211	'19K	'35
[9,51]	'0121H	'19H	'
[10,102]	'01212	'19L	'36
[10,103]	'01213	'19M	'37
[7,13]	'012H	'1T	'
[8,26]	'0122	'1a	'
[9,52]	'0122G	'1aG	'
[10,104]	'01220	'1aJ	'38
[10,105]	'01221	'1aK	'39
[9,53]	'0122H	'1aH	'
[10,106]	'01222	'1aL	'3a
[10,107]	'01223	'1aM	'3b
[8,27]	'0123	'1b	'
[9,54]	'0123G	'1bG	'
[10,108]	'01230	'1bJ	'3c
[10,109]	'01231	'1bK	'3d
[9,55]	'0123H	'1bH	'
[10,110]	'01232	'1bL	'3e
[10,111]	'01233	'1bM	'3f
[6,7]	'013	'1M	'
[7,14]	'013G	'1V	'
[8,28]	'0130	'1c	'
[9,56]	'0130G	'1cG	'
[10,112]	'01300	'1cJ	'3g
[10,113]	'01301	'1cK	'3h
[9,57]	'0130H	'1cH	'
[10,114]	'01302	'1cL	'3i
[10,115]	'01303	'1cM	'3j
[8,29]	'0131	'1d	'
[9,58]	'0131G	'1dG	'
[10,116]	'01310	'1dJ	'3k
[10,117]	'01311	'1dK	'3l
[9,59]	'0131H	'1dH	'
[10,118]	'01312	'1dL	'3m
